firstName,surName,email,age,password,gender,verification,user_profile_pic,userProfile,interestsAndQuestions,pendingFriends
Liam,Smith,liam@example.com,28,$2a$10$7GqEjL8bh7I09iAg9wGkVeX0L4b66prO4uHPscOzV4tcnHxJHo2o6,Male,TRUE,user_default_male.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Agnostic"",""received_a_diagnosis"":""No"",""age"":28,""gender_identity"":""Male"",""sexual_orientation"":""Gay"",""religious_identity"":""No, I am not religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":false,""ptsd"":true,""ocd"":false,""schizophrenia"":false,""eatingDisorders"":true,""other"":false,""eating_disorders"":true,""copingTechniques"":true,""personalStories"":false,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":false,""otherInterests"":false,""meditation"":true,""creativeActivities"":false,""talkToFriends"":false,""exercise"":false,""seekingHelp"":true,""otherCoping"":true,""creative_activities"":true,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":false,""copingother"":false,""coping_techniques"":false,""personal_stories"":false,""reducing_stigma"":false,""healthy_lifestyle"":false}",[]
Sophia,Johnson,sophia@example.com,25,$2a$10$na8mjBDyxK63cT5nB0L9HeX5NkzLNGCR1YzSD9QJENc5O5KQe5r9O,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Atheism"",""received_a_diagnosis"":""No"",""age"":25,""gender_identity"":""Female"",""sexual_orientation"":""Bisexual"",""religious_identity"":""No, I am not religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":false,""ptsd"":true,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":false,""other"":true,""eating_disorders"":true,""copingTechniques"":true,""personalStories"":false,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":true,""meditation"":true,""creativeActivities"":false,""talkToFriends"":true,""exercise"":false,""seekingHelp"":false,""otherCoping"":true,""creative_activities"":true,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":true,""copingother"":true,""coping_techniques"":true,""personal_stories"":true,""reducing_stigma"":false,""healthy_lifestyle"":true}",[]
Muhammad,Ahmed,muhammad@example.com,32,$2a$10$je8bCS7H2t0c3ahWnn4BEOzQD3ZxxURnW6xNJnjh.p/VbZ7U6YB0,Male,TRUE,user_default_male.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""No, but I'm considering seeking treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""No"",""age"":32,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":false,""ptsd"":true,""ocd"":false,""schizophrenia"":false,""eatingDisorders"":false,""other"":false,""eating_disorders"":false,""copingTechniques"":false,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":false,""meditation"":false,""creativeActivities"":true,""talkToFriends"":true,""exercise"":true,""seekingHelp"":false,""otherCoping"":false,""creative_activities"":true,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":false,""copingother"":true,""coping_techniques"":true,""personal_stories"":false,""reducing_stigma"":false,""healthy_lifestyle"":true}",[]
Olivia,Martinez,olivia@example.com,29,$2a$10$LHKn1eMZ3Zc0HgjOorakHugxz1U6s2xzEjls2HttfHwslgubqXGR.,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""No, I prefer to keep it private."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Buddhism"",""received_a_diagnosis"":""No"",""age"":29,""gender_identity"":""Female"",""sexual_orientation"":""Pansexual"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":false,""ptsd"":true,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":false,""other"":true,""eating_disorders"":true,""copingTechniques"":true,""personalStories"":false,""medication"":false,""reducingStigma"":false,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":false,""meditation"":false,""creativeActivities"":false,""talkToFriends"":false,""exercise"":false,""seekingHelp"":false,""otherCoping"":true,""creative_activities"":true,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":true,""copingother"":false,""coping_techniques"":true,""personal_stories"":true,""reducing_stigma"":true,""healthy_lifestyle"":true}",[]
Mia,Brown,mia@example.com,27,$2a$10$ML56TSGcdcvEmH4eb5LYT.aE0CM/ZdUalMawUIYFyXZQb0eGKp10O,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Christianity"",""received_a_diagnosis"":""Yes"",""age"":27,""gender_identity"":""Female"",""sexual_orientation"":""Lesbian"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":false,""ptsd"":false,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":true,""other"":false,""eating_disorders"":true,""copingTechniques"":false,""personalStories"":false,""medication"":false,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":false,""meditation"":false,""creativeActivities"":true,""talkToFriends"":true,""exercise"":true,""seekingHelp"":false,""otherCoping"":false,""creative_activities"":true,""talking_to_friends_family"":false,""exercising"":true,""professional_help"":true,""copingother"":false,""coping_techniques"":true,""personal_stories"":true,""reducing_stigma"":true,""healthy_lifestyle"":true}",[]
Aryan,Patel,aryan@example.com,22,$2a$10$/f2bQCH/rldgTTg3orw4quD/2NPlF4iHr9PVweLwW2ufb72E7Wj0u,Male,TRUE,user_default_male.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Hinduism"",""received_a_diagnosis"":""No"",""age"":22,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":false,""ptsd"":false,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":true,""other"":true,""eating_disorders"":true,""copingTechniques"":true,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":false,""meditation"":true,""creativeActivities"":true,""talkToFriends"":false,""exercise"":false,""seekingHelp"":false,""otherCoping"":true,""creative_activities"":false,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":false,""copingother"":false,""coping_techniques"":false,""personal_stories"":true,""reducing_stigma"":true,""healthy_lifestyle"":true}",[]
Amina,Khan,amina@example.com,31,$2a$10$0jLwEdapNBRcGHnr1..eJ.0ehzEf.jk3HKRfM7TVvyuTP4Z1ZjKK6,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""Yes"",""age"":31,""gender_identity"":""Female"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious."",""interestsAndQuestions"":{""depression"":false,""anxiety"":true,""bipolar"":false,""ptsd"":true,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":false,""other"":true,""eating_disorders"":false,""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":false,""meditation"":true,""creativeActivities"":false,""talkToFriends"":true,""exercise"":false,""seekingHelp"":true,""otherCoping"":false,""creative_activities"":true,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":false,""coping_techniques"":false,""personal_stories"":false,""reducing_stigma"":true,""healthy_lifestyle"":false}}",,[]
Zara,Ali,zara@example.com,33,$2a$10$0KRbWV0twa2g/LbStHdOhu31yrXeEgZq1oQRpQxSOmc6aGKnlY5Ze,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""Yes"",""age"":33,""gender_identity"":""Female"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":false,""ptsd"":true,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":true,""other"":false,""eating_disorders"":false,""copingTechniques"":true,""personalStories"":true,""medication"":false,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":false,""otherInterests"":true,""meditation"":true,""creativeActivities"":true,""talkToFriends"":false,""exercise"":false,""seekingHelp"":true,""otherCoping"":true,""creative_activities"":true,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":false,""coping_techniques"":false,""personal_stories"":false,""reducing_stigma"":true,""healthy_lifestyle"":false}",[]
David,Wilson,david@example.com,40,$2a$10$hsvS5RF6h92Q0ZK6FfTQve9EYow29/N7o/e98NVa7aMmy7SZO/AvC,Male,TRUE,user_default_male.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Christianity"",""received_a_diagnosis"":""Yes"",""age"":40,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":true,""ptsd"":true,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":false,""other"":true,""eating_disorders"":true,""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":false,""meditation"":false,""creativeActivities"":false,""talkToFriends"":false,""exercise"":true,""seekingHelp"":false,""otherCoping"":true,""creative_activities"":false,""talking_to_friends_family"":false,""exercising"":true,""professional_help"":true,""copingother"":false,""coping_techniques"":false,""personal_stories"":false,""reducing_stigma"":true,""healthy_lifestyle"":false}",[]
Amira,Hassan,amira@example.com,29,$2a$10$C/G1qIb7ENqmsmLEgr86MuwCXZc0Hx12DR/hnKKMqvtayZXZLnmBW,Female,TRUE,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""No"",""age"":29,""gender_identity"":""Female"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":true,""ptsd"":false,""ocd"":true,""schizophrenia"":true,""eatingDisorders"":true,""other"":false,""eating_disorders"":true,""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":false,""healthyLifestyle"":false,""spirituality"":false,""otherInterests"":true,""meditation"":true,""creativeActivities"":false,""talkToFriends"":false,""exercise"":true,""seekingHelp"":true,""otherCoping"":false,""creative_activities"":false,""talking_to_friends_family"":true,""exercising"":true,""professional_help"":false,""copingother"":true,""coping_techniques"":true,""personal_stories"":false,""reducing_stigma"":false,""healthy_lifestyle"":false}",[]
