firstName,surName,email,username,age,password,gender,verification,user_profile_pic,userProfile,Mental_Health_Insight,Interests,Coping,pendingSupportGroup
Liam,Smith,liam@gmail.com,LSmith123,28,$2b$10$c7HM84GlZ32xQzWlw7QkD.SIFI1DG4up.OW8i/2fRin6ITy3o8mpS,Male,1,user_default_male.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Agnostic"",""received_a_diagnosis"":""No"",""age"":28,""gender_identity"":""Male"",""sexual_orientation"":""Gay"",""religious_identity"":""No, I am not religious."",""userStory"":""Hi, I'm Liam. I've been living with obsessive-compulsive disorder (OCD) and schizophrenia. My journey with mental health began at a young age when I started experiencing intrusive thoughts and compulsive behaviors. As I got older, the symptoms of schizophrenia became more pronounced, leading to periods of paranoia and delusions.I'm a strong advocate for mental health awareness and actively participate in support groups and therapy sessions. Despite the challenges I face, I remain resilient and strive for a better understanding of my conditions. My primary motivation in joining the mental health community is to seek understanding and support from others who may be going through similar experiences. I believe in the power of sharing personal stories and reducing the stigma surrounding mental health, and I'm open to connecting with others to build a supportive network. My journey is a testament to my courage in confronting mental health issues head-on and my determination to live a fulfilling life."",""user_cover_pic"":""cover_photo.jpg""}","{""depression"":false,""anxiety"":false,""bipolar"":false,""ptsd"":false,""ocd"":true,""schizophrenia"":true,""eatingDisorders"":false,""other"":false}","{""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":true,""talking_to_friends_family"":false,""exercising"":true,""professional_help"":false,""copingother"":false}",[]
Sophia,Johnson,sophia@gmail.com,SJohnson456,25,$2b$10$eDTPCE0t8PPSgxaM7vh37u2jEtERU.ROmo5hPlRn7.vi6UKCPXDAG,Female,1,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Atheism"",""received_a_diagnosis"":""No"",""age"":25,""gender_identity"":""Female"",""sexual_orientation"":""Bisexual"",""religious_identity"":""No, I am not religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":false,""ptsd"":false,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":true,""other"":false}","{""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":false,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":true,""professional_help"":true,""copingother"":false}",[]
Muhammad,Ahmed,muhammad@gmail.com,MAhmed789,32,$2b$10$fkofusD89yUJYOxPj7JZkuI/SJxnPwm5/DjjjcbySzDRKNZBFa1gK,Male,1,user_default_male.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""No, but I'm considering seeking treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""No"",""age"":32,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":true,""ptsd"":true,""ocd"":true,""schizophrenia"":false,""eatingDisorders"":false,""other"":false}","{""copingTechniques"":true,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":true}","{""meditation"":false,""creativeActivities"":false,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":true,""copingother"":true}",[]
Olivia,Martinez,olivia@gmail.com,OMartinez101,29,$2b$10$/yCIpc/bL54CMMw7jCvUbOmw4k8Bg.JUJ4Wm.b5s7YVqAUCTT5wNS,Female,1,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""No, I prefer to keep it private."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Buddhism"",""received_a_diagnosis"":""No"",""age"":29,""gender_identity"":""Female"",""sexual_orientation"":""Pansexual"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":true,""bipolar"":true,""ptsd"":true,""ocd"":false,""schizophrenia"":false,""eatingDisorders"":false,""other"":true}","{""copingTechniques"":false,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":true}","{""meditation"":false,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":true,""copingother"":false}",[]
Mia,Brown,mia@gmail.com,MBrown234,27,$2b$10$HtPft01Tc.i/cgYB36quo.E/o2WvXERtrlPrP9Tm/tk0P7nyRDTC2,Female,1,user_default_female.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Christianity"",""received_a_diagnosis"":""Yes"",""age"":27,""gender_identity"":""Female"",""sexual_orientation"":""Lesbian"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":false,""ptsd"":true,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":false,""other"":false}","{""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":false,""copingother"":true}",[]
Aryan,Patel,aryan@gmail.com,APatel567,22,$2b$10$eHZzDJzlb5tRuBwwZS7PYuVeL/MGHwYAnvh3mkfIERc0sfZJYuZtu,Male,1,user_default_male.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Hinduism"",""received_a_diagnosis"":""No"",""age"":22,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":true,""bipolar"":true,""ptsd"":false,""ocd"":false,""schizophrenia"":false,""eatingDisorders"":false,""other"":false}","{""copingTechniques"":false,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":true}","{""meditation"":false,""creativeActivities"":true,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":true,""copingother"":true}",[]
Amina,Khan,amina@gmail.com,AKhan890,31,$2b$10$ni.9VMaWYxSm6h3wqzBkLeGYaUps067/m3rAANDQ8fwi3r/NR.PZS,Female,1,user_default_female.png,"{""primary_motivation"":""To gain knowledge about mental health and related topics"",""professional_treatment"":""Yes, but I'm not currently in treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""Yes"",""age"":31,""gender_identity"":""Female"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":false,""bipolar"":true,""ptsd"":false,""ocd"":false,""schizophrenia"":true,""eatingDisorders"":false,""other"":false}","{""copingTechniques"":false,""personalStories"":false,""medication"":false,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":false,""otherInterests"":false}","{""meditation"":false,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":false}",[]
Zara,Ali,zara@gmail.com,ZAli1234,33,$2b$10$AebuX7iuiI1MmrM0XaSrSOvjfH5BDOMFJH.pyWEiU70fC0/1HGga.,Female,1,user_default_female.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""Yes"",""age"":33,""gender_identity"":""Female"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":false,""ptsd"":true,""ocd"":true,""schizophrenia"":true,""eatingDisorders"":false,""other"":true}","{""copingTechniques"":false,""personalStories"":true,""medication"":false,""reducingStigma"":true,""healthyLifestyle"":false,""spirituality"":true,""otherInterests"":true}","{""meditation"":false,""creativeActivities"":true,""talking_to_friends_family"":false,""exercising"":false,""professional_help"":false,""copingother"":false}",[]
David,Wilson,david@gmail.com,DWilson5678,40,$2b$10$L/3Q7x9SOAgrJtQ2b1XOGeL0BNHJtTcnHsyF/fKo3wN0ZKkuc3wwy,Male,1,user_default_male.png,"{""primary_motivation"":""To seek understanding and support from others"",""professional_treatment"":""Yes, I am currently receiving treatment."",""comfortable_discussing_mental_health"":""Yes, I'm very open about it."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Christianity"",""received_a_diagnosis"":""Yes"",""age"":40,""gender_identity"":""Male"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":false,""anxiety"":false,""bipolar"":false,""ptsd"":true,""ocd"":false,""schizophrenia"":false,""eatingDisorders"":true,""other"":false}","{""copingTechniques"":true,""personalStories"":true,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":true,""otherInterests"":false}","{""meditation"":false,""creativeActivities"":true,""talking_to_friends_family"":true,""exercising"":false,""professional_help"":false,""copingother"":false}",[]
Amira,Hassan,amira@gmail.com,AHassan901,29,$2b$10$jE6S.4VA2etGRTQxriQEQ.uR0pVi0SZnpxM9d9wkZpOQ0YMlGuw0S,Female,1,user_default_female.png,"{""primary_motivation"":""To provide support and help to others"",""professional_treatment"":""No, and I am not interested in seeking treatment."",""comfortable_discussing_mental_health"":""Somewhat, depending on the context."",""connect_with_others"":""Yes, that would be valuable to me."",""religious"":""Islam"",""received_a_diagnosis"":""No"",""age"":29,""gender_identity"":""Female"",""sexual_orientation"":""Straight"",""religious_identity"":""Yes, I am religious.""}","{""depression"":true,""anxiety"":false,""bipolar"":true,""ptsd"":true,""ocd"":true,""schizophrenia"":true,""eatingDisorders"":true,""other"":true}","{""copingTechniques"":false,""personalStories"":false,""medication"":true,""reducingStigma"":true,""healthyLifestyle"":true,""spirituality"":false,""otherInterests"":false}","{""meditation"":true,""creativeActivities"":false,""talking_to_friends_family"":false,""exercising"":true,""professional_help"":true,""copingother"":false}",[]
